name,description,alcohol_percentage,bitterness,country,taste_tags,beer_type,style
Jaws APA Orange,"Jaws APA Orange - это ароматное пиво в стиле American Pale Ale с выраженными цитрусовыми нотами. Оно обладает ярким вкусом с акцентами апельсина и грейпфрута, что делает его освежающим и приятным для летнего дня. Пиво имеет сбалансированную горечь и легкую сладость, что делает его подходящим для широкого круга любителей пива. Это пиво идеально сочетается с легкими закусками и блюдами из морепродуктов.",5.0,средняя,Россия,"цитрусовое, освежающее, фруктовое, апельсин, грейпфрут",светлое,American Pale Ale
Victory Golden Monkey,"Victory Golden Monkey - это бельгийский трипель, который предлагает насыщенный и сложный вкус. Пиво обладает фруктовыми и пряными нотами, с легким намеком на банан и гвоздику. Оно имеет гладкую текстуру и слегка сладковатый послевкусие. Это пиво идеально подходит для тех, кто ищет что-то с богатым ароматом и высокой крепостью. Golden Monkey отличается своим золотистым цветом и стойкой пеной, что делает его привлекательным как визуально, так и на вкус.",9.5,средняя,США,"фруктовое, пряное, сладковатое, банан, гвоздика",светлое,бельгийский трипель
Dogfish Head 60 Minute IPA,"Dogfish Head 60 Minute IPA - это классический американский IPA, известный своей сбалансированной горечью и сложным ароматом. Пиво варится с использованием метода непрерывного добавления хмеля в течение 60 минут, что придает ему уникальный вкус и аромат. Оно обладает яркими нотами цитрусовых и сосновых, а также легкими оттенками сладости солода. Это пиво идеально подходит для любителей хмелевых сортов, которые ценят как горечь, так и аромат. 60 Minute IPA имеет золотистый цвет и среднее тело, что делает его освежающим и легко пьющимся.",6.0,60,США,"цитрусовый, сосновый, хмелевой, сбалансированный, освежающий",светлое,IPA
Dogfish Head 90 Minute IPA,"Dogfish Head 90 Minute IPA - это классический американский имперский IPA, который отличается богатым и сложным вкусом. Пиво имеет насыщенный янтарный цвет и обладает интенсивным ароматом хмеля с нотами цитрусовых и сосны. Вкус сбалансирован между сладостью солода и горечью хмеля, создавая приятное послевкусие. Это пиво известно своим уникальным процессом непрерывного добавления хмеля в течение 90 минут варки, что придает ему характерную горечь и аромат. Оно идеально подходит для любителей хмелевых сортов, которые ищут что-то более насыщенное и крепкое. 90 Minute IPA часто называют одним из лучших примеров стиля имперский IPA.",9.0,90,США,"хмелевое, цитрусовое, сосновое, сладковатое, горькое",янтарное,Imperial IPA
Dogfish Head SeaQuench,"Dogfish Head SeaQuench — это освежающее пиво, которое сочетает в себе три стиля: Kolsch, Gose и Berliner Weisse. Оно обладает легким и освежающим вкусом с нотками лайма, черной соли и кориандра. Это пиво идеально подходит для жарких летних дней благодаря своему кислому и слегка соленому профилю.",4.9,низкая,США,"кислое, освежающее, лайм, соленое, легкое",светлое,Gose
Omnipollo Zodiac,"Omnipollo Zodiac - это сочное и ароматное IPA, сваренное с использованием овсяных хлопьев и пшеницы для создания мягкой текстуры. Пиво обладает ярким ароматом тропических фруктов и цитрусовых, благодаря использованию современных хмелей. Оно имеет сбалансированную горечь и освежающий вкус, который делает его идеальным выбором для любителей IPA. Это пиво часто описывают как обладающее кремовой текстурой и насыщенным вкусом, который оставляет приятное послевкусие.",6.2,средняя,Швеция,"тропические фрукты, цитрусовые, сочное, кремовая текстура, освежающее",светлое,IPA
Omnipollo Nebuchadnezzar,"Omnipollo Nebuchadnezzar - это мощный и ароматный Double IPA, который славится своим интенсивным хмелевым профилем. Пиво обладает яркими цитрусовыми и тропическими нотами, которые прекрасно сбалансированы с солодовой основой. Оно имеет насыщенный вкус с долгим послевкусием, которое оставляет приятное ощущение горечи. Это пиво было создано для настоящих ценителей хмеля и стало одним из флагманских продуктов Omnipollo.",8.5,100,Швеция,"цитрусовое, тропическое, хмелевое, горькое, насыщенное",светлое,Double IPA
To Øl Gose,"To Øl Gose - это современная интерпретация традиционного немецкого стиля пива, известного своим соленым и кислым вкусом. Это освежающее пиво с легким телом и яркими цитрусовыми нотами, дополненными легкой соленостью и кислинкой. Оно идеально подходит для жарких летних дней и отлично сочетается с легкими закусками и морепродуктами.",4.0,низкая,Дания,"кислое, соленое, освежающее, цитрусовое",светлое,Gose
To Øl House of Pale,"To Øl House of Pale - это освежающее и ароматное пиво, которое сочетает в себе яркие цитрусовые ноты с легкой горечью. Оно обладает сбалансированным вкусом, который делает его идеальным для любителей хмелевых сортов. Пиво имеет светлый золотистый цвет и насыщенный аромат хмеля. Это пиво подходит для тех, кто ищет что-то легкое и освежающее, но при этом с характерным вкусом. Оно прекрасно сочетается с легкими закусками и блюдами из морепродуктов.",5.5,средняя,Дания,"цитрусовый, хмелевой, освежающий, легкий",светлое,Pale Ale
Mikkeller IPA,"Mikkeller IPA - это освежающее и ароматное пиво, которое предлагает насыщенный вкус с яркими цитрусовыми и тропическими нотами. Оно обладает сбалансированной горечью и приятной хмелевой свежестью. Это пиво идеально подходит для любителей интенсивных вкусов и ароматов. Mikkeller известен своими экспериментальными подходами к пивоварению, и этот IPA не является исключением. Он предлагает уникальный опыт дегустации с каждым глотком.",6.9,60,Дания,"цитрусовый, тропический, хмелевой, освежающий, горький",светлое,IPA
Mikkeller Pilsner,"Mikkeller Pilsner - это освежающее и легкое пиво, которое предлагает классический вкус пилснера с современным подходом. Оно обладает чистым и хрустящим вкусом с нотками трав и легкой сладостью солода. Это пиво идеально подходит для тех, кто ищет баланс между традиционным вкусом и инновацией. Mikkeller Pilsner отличается своей мягкой текстурой и приятным послевкусием, что делает его отличным выбором для любого случая.",4.6,средняя,Дания,"освежающее, легкое, травянистое, сладковатое, чистое",светлое,пилснер
Mikkeller Beer Geek Breakfast,"Mikkeller Beer Geek Breakfast - это насыщенный овсяный стаут, сваренный с добавлением кофе. Он обладает глубоким ароматом жареного кофе, шоколада и карамели, с легкими нотками овсянки. Вкус пива богатый и комплексный, с выраженной кофейной горечью и сладостью, сбалансированной кремовой текстурой. Это пиво идеально подходит для утреннего наслаждения или в качестве десерта.",7.5,высокая,Дания,"кофе, шоколад, карамель, овсянка, горький",темное,стаут
Mikkeller Hazy IPA,"Mikkeller Hazy IPA - это освежающее и ароматное пиво с характерной мутностью, присущей стилю New England IPA. Оно обладает яркими фруктовыми нотами, такими как цитрусовые и тропические фрукты, благодаря использованию ароматных хмелей. Это пиво отличается мягким вкусом и умеренной горечью, что делает его приятным для питья. Идеально подходит для любителей хмелевых ароматов и легкой текстуры.",6.6,средняя,Дания,"фруктовое, цитрусовое, тропическое, мягкое, ароматное",светлое,IPA
BrewDog Dead Pony Club,"BrewDog Dead Pony Club - это освежающий и легкий американский пейл-эль с яркими цитрусовыми и тропическими ароматами. Он обладает насыщенным вкусом с нотами грейпфрута, манго и ананаса, дополненными легкой карамельной сладостью. Это пиво идеально подходит для тех, кто ищет баланс между вкусом и легкостью. Оно имеет умеренную горечь и приятное сухое послевкусие.",3.8,40,Шотландия,"цитрусовый, тропический, освежающий, легкий, карамельный",светлое,American Pale Ale
BrewDog Nanny State,"BrewDog Nanny State - это безалкогольное пиво, которое предлагает насыщенный вкус с акцентом на хмель. Оно обладает сложным ароматом, в котором сочетаются ноты цитрусовых, сосны и карамели. Это пиво предназначено для тех, кто хочет насладиться вкусом крафтового пива без содержания алкоголя. Оно имеет легкое тело и освежающий послевкусие, что делает его отличным выбором для любого времени дня.",0.5,45,Шотландия,"безалкогольное, хмелевое, цитрусовое, освежающее, карамельное",светлое,безалкогольное пиво
BrewDog Jet Black Heart,"Jet Black Heart от BrewDog — это насыщенный и кремовый стаут с бархатистой текстурой. Он обладает глубоким шоколадным вкусом с нотками ванили и кофе, создавая богатый и согревающий профиль. Это пиво идеально подходит для тех, кто ищет что-то темное и утонченное. Оно обладает мягкой горечью и сладким послевкусием, что делает его отличным выбором для холодных вечеров.",4.7,низкая,Шотландия,"шоколад, ваниль, кофе, кремовый, бархатистый",темное,стаут
BrewDog Clockwork Tangerine,"BrewDog Clockwork Tangerine - это освежающий и ароматный пейл-эль с добавлением мандарина. Он обладает ярким цитрусовым ароматом и легким сладковатым вкусом, который прекрасно сочетается с умеренной горечью. Это пиво идеально подходит для теплых летних дней и является отличным выбором для любителей фруктовых элей.",4.5,средняя,Шотландия,"цитрусовый, фруктовый, освежающий, легкий",светлое,пейл-эль
BrewDog Double Punk,"BrewDog Double Punk - это усиленная версия классического Punk IPA, обладающая более насыщенным вкусом и ароматом. Это пиво отличается интенсивными цитрусовыми и тропическими нотами, дополненными карамельными и солодовыми оттенками. Оно обладает яркой горечью и длительным послевкусием, что делает его идеальным выбором для любителей хмелевых сортов. Double Punk предлагает богатый и сложный профиль, который понравится как опытным ценителям, так и новичкам в мире крафтового пива.",8.2,высокая,Шотландия,"цитрусовый, тропический, горький, карамельный, хмелевой",светлое,Double IPA
BrewDog Layer Cake,"BrewDog Layer Cake - это насыщенный стаут, который предлагает сладкие и десертные ноты, напоминающие шоколадный торт. Вкус пива богатый и кремовый, с выраженными оттенками какао, ванили и маршмеллоу. Это пиво идеально подходит для тех, кто ищет что-то сладкое и необычное. Оно обладает мягкой текстурой и длительным послевкусием, которое оставляет ощущение сладкого десерта. Layer Cake - это идеальный выбор для любителей сладких стаутов.",7.0,средняя,Шотландия,"шоколад, ваниль, маршмеллоу, сладкое, десертное",темное,стаут
BrewDog Lost Lager,"BrewDog Lost Lager - это освежающий и современный лагер, который сочетает в себе традиционные методы пивоварения с инновационными подходами. Он обладает чистым и хрустящим вкусом с легкими нотками цитрусовых и травянистых хмелей. Пиво сварено с использованием немецкого хмеля Saphir, что придает ему уникальный аромат и вкус. Lost Lager идеально подходит для тех, кто ищет освежающий напиток с умеренной горечью и сбалансированным вкусом. Это пиво прекрасно сочетается с легкими закусками и блюдами из морепродуктов.",4.7,средняя,Шотландия,"освежающий, цитрусовый, травянистый, чистый, хрустящий",светлое,лагер
Weidmann Pils,"Weidmann Pils - это классический немецкий пилснер, который отличается своим освежающим вкусом и легкой горечью. Пиво обладает светло-золотистым цветом и прозрачностью, характерной для стиля пилснер. Аромат Weidmann Pils сочетает в себе нотки хмеля и солода, создавая приятный баланс. Это пиво идеально подходит для тех, кто ищет освежающий напиток с умеренной горечью. Weidmann Pils часто подают охлажденным, чтобы подчеркнуть его освежающие качества.",4.9,средняя,Германия,"освежающий, хмелевой, сбалансированный",светлое,пилснер
Weidmann Weissbier,"Weidmann Weissbier - это традиционное немецкое пшеничное пиво, известное своим освежающим вкусом и легкой фруктовой ноткой. Оно обладает характерной мутностью и золотистым цветом. В аромате присутствуют банановые и гвоздичные ноты, которые типичны для этого стиля. Пиво имеет мягкую текстуру и приятное послевкусие. Оно идеально подходит для летнего отдыха и хорошо сочетается с легкими блюдами.",5.3,низкая,Германия,"фруктовое, освежающее, банан, гвоздика, мягкое",светлое,Weissbier
Kozel Non-Alcoholic,"Kozel Non-Alcoholic - это безалкогольное пиво, которое предлагает классический вкус чешского лагера без содержания алкоголя. Оно обладает легким и освежающим вкусом с нотками солода и хмеля. Это пиво идеально подходит для тех, кто хочет насладиться вкусом пива, избегая алкоголя. Kozel Non-Alcoholic сохраняет традиции чешского пивоварения, предлагая качественный и сбалансированный напиток.",0.5,низкая,Чехия,"легкое, освежающее, сладковатое, солодовое",светлое,лагер
Kozel Lime & Mint,"Kozel Lime & Mint - это освежающее пиво с добавлением натуральных ароматизаторов лайма и мяты. Оно обладает легким и освежающим вкусом, идеально подходящим для жарких летних дней. Это пиво отличается мягким и сбалансированным вкусом с фруктовыми и мятными нотками. Оно имеет светлый цвет и легкую пену, что делает его привлекательным для любителей легких и ароматных напитков. Kozel Lime & Mint предлагает уникальное сочетание традиционного чешского пива с современными вкусами.",2.0,низкая,Чехия,"освежающее, лайм, мята, легкое, фруктовое",светлое,лагер
Kozel Grapefruit,"Kozel Grapefruit - это освежающее пиво с добавлением натурального грейпфрутового сока, которое сочетает в себе легкость и фруктовую сладость. Оно обладает ярким цитрусовым ароматом и мягким вкусом, что делает его идеальным для жарких летних дней. Это пиво предлагает уникальный баланс между традиционным вкусом лагера и фруктовой свежестью. Kozel Grapefruit подходит для тех, кто ищет что-то новое и необычное в мире пива.",2.1,низкая,Чехия,"фруктовое, освежающее, цитрусовое, легкое",светлое,фруктовый лагер
Zhiguli Барное Нефильтрованное,"Zhiguli Барное Нефильтрованное - это российское пиво, которое отличается мягким и освежающим вкусом. Оно производится по классической рецептуре с использованием натуральных ингредиентов. Нефильтрованное пиво сохраняет больше натуральных вкусов и ароматов, что придает ему особую насыщенность. Это пиво обладает легкой мутностью, характерной для нефильтрованных сортов, и приятным хлебным ароматом. Оно идеально подходит для тех, кто ценит натуральность и традиции в пивоварении.",4.9,низкая,Россия,"мягкое, освежающее, хлебный аромат, натуральное",светлое,лагер
Lucky Jack Pale Ale,"Lucky Jack Pale Ale - это освежающее и ароматное пиво, произведенное в Норвегии. Оно обладает светло-золотистым цветом и насыщенным ароматом цитрусовых и тропических фруктов. Вкус сбалансирован, с легкой сладостью солода и умеренной горечью хмеля. Это пиво идеально подходит для тех, кто ищет легкий и освежающий напиток с характерным хмелевым профилем.",4.7,45,Норвегия,"цитрусовый, тропический, освежающий, хмелевой",светлое,American Pale Ale
Garage Hard Lemon,"Garage Hard Lemon - это освежающий напиток, сочетающий в себе вкус лимонада и легкое пиво. Он обладает ярким цитрусовым ароматом и сладким, слегка кислым вкусом, который идеально подходит для жарких летних дней. Этот напиток часто выбирают те, кто предпочитает легкие и фруктовые вкусы. Garage Hard Lemon отличается своей легкостью и непринужденностью, что делает его популярным выбором для вечеринок и пикников.",4.6,низкая,Россия,"цитрусовый, сладкий, освежающий, легкий",другое,лимонадное пиво
Garage Hard Ginger,"Garage Hard Ginger - это освежающий напиток с ярко выраженным вкусом имбиря. Он обладает легкой сладостью и пряной остротой, что делает его идеальным выбором для любителей необычных вкусов. Напиток имеет светло-золотистый цвет и легкую газированность, что придает ему дополнительную свежесть. Garage Hard Ginger отлично подходит для употребления в жаркую погоду или в качестве аперитива. Его уникальный вкус и аромат делают его популярным среди тех, кто ищет что-то новое и необычное.",4.6,низкая,Россия,"имбирь, сладость, пряность, освежающий",светлое,другое
Garage Hard Ice Tea,"Garage Hard Ice Tea - это освежающий напиток, сочетающий в себе вкус холодного чая и легкого алкоголя. Он обладает сладким и фруктовым профилем, который идеально подходит для теплой погоды. Напиток отличается легкостью и приятной кислинкой, что делает его популярным выбором среди любителей слабоалкогольных коктейлей. Garage Hard Ice Tea часто подается с льдом, что усиливает его освежающие свойства.",4.5,низкая,Финляндия,"сладкий, фруктовый, освежающий, чайный",другое,слабоалкогольный коктейль
Garage Hard Cola,"Garage Hard Cola - это освежающий алкогольный напиток, сочетающий в себе вкус классической колы с легким алкогольным содержанием. Напиток обладает сладким и слегка газированным вкусом, что делает его идеальным для летних вечеринок и отдыха на свежем воздухе. Он отличается ярким ароматом колы и мягким послевкусием. Garage Hard Cola подходит для тех, кто ищет что-то необычное и освежающее.",4.6,низкая,Россия,"сладкий, освежающий, кола, газированный",другое,фруктовый эль
Somersby Pear,"Somersby Pear — это освежающий сидр с ярким ароматом спелой груши. Он обладает сладким и фруктовым вкусом, который идеально подходит для теплых летних дней. Напиток отличается легкостью и приятной сладостью, что делает его популярным выбором среди любителей фруктовых сидров. Somersby Pear часто подают с кубиками льда, чтобы подчеркнуть его освежающие свойства. Этот сидр подходит для тех, кто предпочитает менее горькие и более сладкие напитки.",4.5,низкая,Дания,"фруктовый, сладкий, освежающий, груша",другое,сидр
Somersby Watermelon,"Somersby Watermelon - это освежающий фруктовый сидр с ярким вкусом арбуза. Он обладает легким и сладким ароматом, который идеально подходит для летнего отдыха. Этот напиток отличается мягкостью и приятной сладостью, что делает его популярным выбором среди любителей фруктовых сидров. Somersby Watermelon идеально подходит для употребления в чистом виде или в составе коктейлей.",4.5,низкая,Дания,"фруктовый, сладкий, освежающий, ароматный",другое,сидр
Somersby Blueberry,"Somersby Blueberry - это освежающий фруктовый сидр с ярким вкусом черники. Он обладает сладким и слегка терпким вкусом, который идеально подходит для теплых летних дней. Этот сидр отличается легкостью и приятной фруктовой ароматикой, что делает его популярным выбором среди любителей фруктовых напитков. Somersby Blueberry часто подают со льдом, чтобы подчеркнуть его освежающие свойства.",4.5,низкая,Дания,"фруктовый, сладкий, освежающий, черника",другое,сидр
Somersby Mango & Lime,"Somersby Mango & Lime - это освежающий сидр с яркими нотками манго и лайма. Этот напиток отличается легкостью и фруктовым вкусом, идеально подходящим для теплых летних дней. Он обладает сладким профилем, который понравится любителям фруктовых напитков. Сидр имеет приятный аромат, сочетающий тропические фрукты и цитрусовые. Somersby Mango & Lime - это отличный выбор для тех, кто ищет что-то легкое и освежающее.",4.5,низкая,Дания,"фруктовый, сладкий, освежающий, тропический",другое,сидр
Kaltenberg Pils,"Kaltenberg Pils - это классическое немецкое пиво, которое отличается своим чистым и освежающим вкусом. Оно обладает светло-золотистым цветом и характерной горечью, свойственной стилю пилснер. Это пиво варится с использованием лучших сортов хмеля и солода, что придает ему сбалансированный вкус и аромат. Kaltenberg Pils идеально подходит для тех, кто ценит традиционные немецкие пивные традиции и высокое качество. Оно прекрасно сочетается с разнообразными блюдами и может быть отличным выбором для любого случая.",4.8,средняя,Германия,"освежающее, горькое, хмелевое, традиционное",светлое,пилснер
Kaltenberg Weissbier,"Kaltenberg Weissbier - это традиционное немецкое пшеничное пиво, известное своим освежающим и фруктовым вкусом. Оно обладает мягким и слегка сладковатым профилем с нотками банана и гвоздики, характерными для этого стиля. Пиво имеет мутный золотистый цвет и густую белую пену. Благодаря естественной карбонизации, оно обладает приятной шипучестью. Это пиво идеально подходит для теплых летних дней и хорошо сочетается с легкими блюдами.",5.5,низкая,Германия,"фруктовое, освежающее, сладковатое, банан, гвоздика",светлое,вайсбир
Kaltenberg Dunkel,"Kaltenberg Dunkel - это традиционное немецкое темное пиво, которое отличается насыщенным вкусом и глубоким цветом. Оно обладает мягким солодовым ароматом с нотками карамели и шоколада. Это пиво имеет гладкую текстуру и приятное послевкусие, которое делает его идеальным выбором для любителей темных сортов. Kaltenberg Dunkel варится по старинным рецептам, что придает ему аутентичность и уникальность. Это пиво прекрасно сочетается с мясными блюдами и сырами, подчеркивая их вкус и аромат.",5.1,низкая,Германия,"солодовый, карамельный, шоколадный, гладкий",темное,лагер
Konig Ludwig Weissbier,"Konig Ludwig Weissbier - это классическое немецкое пшеничное пиво, известное своим мягким и освежающим вкусом. Оно обладает золотистым цветом и характерной мутностью, присущей нефильтрованным пшеничным сортам. В аромате доминируют ноты банана и гвоздики, которые дополняются легкими фруктовыми и пряными оттенками. Это пиво имеет гладкую текстуру и мягкую карбонизацию, что делает его идеальным для утоления жажды. Konig Ludwig Weissbier отлично сочетается с легкими блюдами и закусками.",5.5,низкая,Германия,"банан, гвоздика, фруктовый, освежающий, мягкий",светлое,вайсбир
Konig Ludwig Dunkel,"Konig Ludwig Dunkel - это традиционное немецкое темное пиво, известное своим насыщенным и глубоким вкусом. Оно обладает богатым ароматом с нотками карамели и жареного солода. Это пиво имеет гладкую текстуру и мягкий, слегка сладковатый вкус с легкой горечью. Оно идеально подходит для тех, кто ценит классические немецкие темные сорта. Konig Ludwig Dunkel часто подают с традиционными баварскими блюдами, такими как колбаски и свиные ребрышки.",5.1,низкая,Германия,"карамель, жареный солод, сладковатый, гладкий",темное,лагер
Maisel’s Weisse,"Maisel’s Weisse - это классическое немецкое пшеничное пиво, известное своим насыщенным вкусом и ароматом. Оно обладает характерной мутностью и золотистым цветом, с густой белой пеной. Вкус пива сбалансирован, с нотами банана, гвоздики и легкой кислинкой. Это пиво освежающее и мягкое, идеально подходит для теплой погоды. Maisel’s Weisse производится с использованием традиционных методов пивоварения и натуральных ингредиентов. Оно является отличным примером баварского пшеничного пива.",5.2,низкая,Германия,"банан, гвоздика, освежающее, мягкое, фруктовое",светлое,пшеничное
Schneider Weisse Original,"Schneider Weisse Original - это классическое немецкое пшеничное пиво, известное своим насыщенным и многослойным вкусом. Оно обладает мягким ароматом банана и гвоздики, с легкими нотками карамели и хлеба. Это нефильтрованное пиво имеет характерный мутный вид и кремовую пену. Оно идеально подходит для тех, кто ценит традиционные баварские пшеничные сорта. Пиво обладает сбалансированной сладостью и легкой кислинкой, что делает его освежающим и приятным на вкус.",5.4,низкая,Германия,"банан, гвоздика, карамель, хлеб, освежающее",светлое,вайцен
Schneider Weisse Aventinus,"Schneider Weisse Aventinus - это классическое немецкое пиво в стиле Weizenbock, известное своим насыщенным и сложным вкусом. Оно обладает глубоким янтарным цветом и густой кремовой пеной. В аромате и вкусе присутствуют ноты банана, гвоздики, темных фруктов и карамели, с легкими оттенками шоколада и специй. Это пиво обладает богатой текстурой и длительным послевкусием, которое согревает и оставляет приятное впечатление.",8.2,средняя,Германия,"банан, гвоздика, темные фрукты, карамель, шоколад",темное,Weizenbock
Spaten Dunkel,"Spaten Dunkel - это классическое темное пиво, произведенное в Германии. Оно обладает насыщенным ароматом с нотками карамели и легкой сладостью. Вкус мягкий и сбалансированный, с отчетливыми оттенками солода и легкой горечью. Это пиво идеально подходит для тех, кто ценит традиционные немецкие сорта. Spaten Dunkel имеет глубокий коричневый цвет и плотную пену. Оно отлично сочетается с мясными блюдами и сырами.",5.1,низкая,Германия,"карамель, сладость, солод, мягкость",темное,лагер
Spaten Oktoberfestbier,"Spaten Oktoberfestbier - это традиционное немецкое пиво, которое варится специально для празднования Октоберфеста. Оно обладает золотистым цветом и насыщенным солодовым вкусом с легкими нотками хмеля. Это пиво отличается мягкостью и сбалансированностью, что делает его идеальным для длительных праздников. Spaten Oktoberfestbier имеет чистый и освежающий финиш, который оставляет приятное послевкусие. Это пиво является одним из самых популярных на Октоберфесте в Мюнхене.",5.9,низкая,Германия,"солодовое, сбалансированное, освежающее, традиционное",светлое,лагер
Velkopopovický Kozel Premium Lager,"Velkopopovický Kozel Premium Lager - это классический чешский лагер, известный своим мягким и сбалансированным вкусом. Пиво обладает золотистым цветом и плотной белой пеной. В аромате чувствуются нотки солода и легкая хмелевая свежесть. Вкус пива характеризуется легкой сладостью с мягкой горечью в послевкусии. Это пиво идеально подходит для тех, кто ценит традиционные чешские лагеры.",4.8,низкая,Чехия,"сбалансированный, солодовый, легкая горечь, освежающий",светлое,лагер
Utenos Pilsener,"Utenos Pilsener - это освежающее светлое пиво, произведенное в Литве. Оно обладает чистым и мягким вкусом с легкими солодовыми нотками и умеренной горечью. Это пиво идеально подходит для тех, кто предпочитает классический вкус лагера. Оно хорошо сочетается с легкими закусками и блюдами из рыбы. Utenos Pilsener отличается своей прозрачностью и золотистым цветом.",5.0,средняя,Литва,"освежающее, солодовое, умеренная горечь",светлое,лагер
Utenos Classic,"Utenos Classic - это освежающее светлое пиво, произведенное в Литве. Оно обладает мягким вкусом с легкими солодовыми и хмелевыми нотками. Это пиво идеально подходит для тех, кто ищет легкий и приятный напиток для повседневного употребления. Utenos Classic отличается чистотой вкуса и умеренной газированностью, что делает его отличным выбором для различных мероприятий и встреч.",4.6,низкая,Литва,"освежающее, легкое, солодовое, хмелевое",светлое,лагер
Švyturys Ekstra,"Švyturys Ekstra - это светлый лагер, который производится в Литве. Он обладает чистым и освежающим вкусом с легкими нотками солода и хмеля. Это пиво известно своим сбалансированным вкусом и мягким послевкусием. Оно идеально подходит для тех, кто предпочитает классические лагеры с умеренной горечью. Švyturys Ekstra часто выбирают для повседневного употребления благодаря его легкости и универсальности.",5.2,низкая,Литва,"освежающий, сбалансированный, легкий, солодовый",светлое,лагер
